kingdom	phylum	class	order	family	genus	species	lastvalue	otu_seq_comp_appr	otu_db	lsid	taxonRank	specificEpithet
asv.4753	Eukaryota	Arthropoda	Insecta	Lepidoptera	Hesperiidae	Lucida	Lucida lucia	Lucida lucia	bowtie2;2.4.4;ANACAPA-blca;2021	MIDORI_UNIQ_GB246_CO1			
asv.4767	Eukaryota	Arthropoda	Insecta	Lepidoptera	Nepticulidae	Trifurcula	Trifurcula bupleurella	Trifurcula bupleurella	bowtie2;2.4.4;ANACAPA-blca;2021	MIDORI_UNIQ_GB246_CO1			
asv.4747	Eukaryota	Cnidaria	Hydrozoa	Leptothecata	Obeliidae			Obeliidae	bowtie2;2.4.4;ANACAPA-blca;2021	MIDORI_UNIQ_GB246_CO1			
asv.4813	Eukaryota	Arthropoda	Hexanauplia	Harpacticoida	Normanellidae		Normanellidae sp. DZMB058	Normanellidae sp. DZMB058	bowtie2;2.4.4;ANACAPA-blca;2021	MIDORI_UNIQ_GB246_CO1			
asv.4865	Eukaryota		Bigyra	Thraustochytrida	Thraustochytriaceae	Botryochytrium	Botryochytrium radiatum	Botryochytrium radiatum	bowtie2;2.4.4;ANACAPA-blca;2021	MIDORI_UNIQ_GB246_CO1			
asv.5064	Eukaryota	Evosea	Eumycetozoa					Eumycetozoa	bowtie2;2.4.4;ANACAPA-blca;2021	MIDORI_UNIQ_GB246_CO1			
asv.5108	Eukaryota	Arthropoda	Arachnida	Araneae	Dysderidae	Parachtes	Parachtes loboi	Parachtes loboi	bowtie2;2.4.4;ANACAPA-blca;2021	MIDORI_UNIQ_GB246_CO1			
asv.5228	Eukaryota	Cnidaria	Hydrozoa	Leptothecata	Obeliidae			Obeliidae	bowtie2;2.4.4;ANACAPA-blca;2021	MIDORI_UNIQ_GB246_CO1			
asv.5281	Eukaryota	Arthropoda	Arachnida	Araneae	Linyphiidae	Arcuphantes	Arcuphantes pennatus	Arcuphantes pennatus	bowtie2;2.4.4;ANACAPA-blca;2021	MIDORI_UNIQ_GB246_CO1			
asv.5264	Eukaryota	Arthropoda	Insecta	Coleoptera	Scarabaeidae	Onthophagus	Onthophagus obscurior	Onthophagus obscurior	bowtie2;2.4.4;ANACAPA-blca;2021	MIDORI_UNIQ_GB246_CO1			
asv.5316	Eukaryota	Evosea	Eumycetozoa					Eumycetozoa	bowtie2;2.4.4;ANACAPA-blca;2021	MIDORI_UNIQ_GB246_CO1			
asv.5432	Eukaryota	Zoopagomycota	Entomophthoromycetes	Entomophthorales	Ancylistaceae	Neoconidiobolus	Neoconidiobolus thromboides	Neoconidiobolus thromboides	bowtie2;2.4.4;ANACAPA-blca;2021	MIDORI_UNIQ_GB246_CO1			
asv.5422	Eukaryota	Arthropoda	Insecta	Coleoptera	Carabidae	Antireicheia	Antireicheia tsitsikamae	Antireicheia tsitsikamae	bowtie2;2.4.4;ANACAPA-blca;2021	MIDORI_UNIQ_GB246_CO1			
asv.5552	Eukaryota	Onychophora	Udeonychophora	Euonychophora	Peripatopsidae	Peripatopsis	Peripatopsis clavigera	Peripatopsis clavigera	bowtie2;2.4.4;ANACAPA-blca;2021	MIDORI_UNIQ_GB246_CO1			
asv.5600	Eukaryota	Annelida	Polychaeta	Phyllodocida	Polynoidae		Polynoidae sp. BOLD_AAY7885	Polynoidae sp. BOLD_AAY7885	bowtie2;2.4.4;ANACAPA-blca;2021	MIDORI_UNIQ_GB246_CO1			
asv.5655	Eukaryota		Phaeophyceae	Ectocarpales	Chordariaceae		Chordariaceae sp. 1 AP_2014	Chordariaceae sp. 1 AP_2014	bowtie2;2.4.4;ANACAPA-blca;2021	MIDORI_UNIQ_GB246_CO1			
asv.5639	Eukaryota	Arthropoda	Insecta	Coleoptera	Carabidae	Eucallia	Eucallia boussingaultii	Eucallia boussingaultii	bowtie2;2.4.4;ANACAPA-blca;2021	MIDORI_UNIQ_GB246_CO1			
asv.5644	Eukaryota	Nematoda	Chromadorea	Chromadorida	Chromadoridae		Chromadoridae sp. 09PROBE_01551	Chromadoridae sp. 09PROBE_01551	bowtie2;2.4.4;ANACAPA-blca;2021	MIDORI_UNIQ_GB246_CO1			
asv.5681	Eukaryota	Arthropoda	Insecta	Hymenoptera	Apidae	Anthophora	Anthophora sp. Kyr1_41w	Anthophora sp. Kyr1_41w	bowtie2;2.4.4;ANACAPA-blca;2021	MIDORI_UNIQ_GB246_CO1			
